license_number,business_name,dba_name,city,county,weedmaps_url,leafly_url,verified_url,menu_provider
C10-0001499-LIC,"Goat Venture, LLC",BUZZ CANNABIS,San Diego,San Diego,https://weedmaps.com/dispensaries/buzz-san-diego,https://www.leafly.com/dispensary-info/buzz,,
C10-0000772-LIC,"Green Square, Inc.",Backpack Boyz,La Mesa,San Diego,https://weedmaps.com/dispensaries/backpack-boyz-la-mesa,https://www.leafly.com/dispensary-info/backpack-boyz,,
C10-0001062-LIC,"Harvest Of Chula Vista, LLC",Wellgreens Dispensary,Chula Vista,San Diego,https://weedmaps.com/dispensaries/wellgreens-chula-vista,https://www.leafly.com/dispensary-info/wellgreens,,
C10-0001539-LIC,"Hilife Group Lg, LLC",BUZZ Cannabis,Lemon Grove,San Diego,https://weedmaps.com/dispensaries/buzz-lemon-grove,https://www.leafly.com/dispensary-info/buzz,,
C10-0001170-LIC,"Hilife Group Lm, LLC",Buzz Cannabis,La Mesa,San Diego,https://weedmaps.com/dispensaries/buzz-la-mesa,https://www.leafly.com/dispensary-info/buzz,,
C10-0001094-LIC,"Hilife Group Mv, LLC",BUZZ CANNABIS,San Diego,San Diego,https://weedmaps.com/dispensaries/buzz-san-diego,https://www.leafly.com/dispensary-info/buzz,,
C10-0001655-LIC,"Hilife Group Santee, LLC",BUZZ Cannabis,Santee,San Diego,https://weedmaps.com/dispensaries/buzz-santee,https://www.leafly.com/dispensary-info/buzz,,
C10-0000771-LIC,Hillside Holistic,HELLO CANNABIS,Vista,San Diego,https://weedmaps.com/dispensaries/hello-vista,https://www.leafly.com/dispensary-info/hello,,
C10-0000636-LIC,Honey Oil Collective,March and Ash,Vista,San Diego,https://weedmaps.com/dispensaries/march-and-ash-vista,https://www.leafly.com/dispensary-info/march-and-ash,,
C10-0001424-LIC,"Humanity Encinitas 4, Inc.",The Cake House Dispensary,Encinitas,San Diego,https://weedmaps.com/dispensaries/the-cake-house-encinitas,https://www.leafly.com/dispensary-info/the-cake-house,,
C10-0001072-LIC,"Kim Investments, LLC",Off The Charts,Lemon Grove,San Diego,https://weedmaps.com/dispensaries/off-the-charts-lemon-grove,https://www.leafly.com/dispensary-info/off-the-charts,,
C10-0000228-LIC,"La Mesa Health Center, Inc.",LiT La Mesa,La Mesa,San Diego,https://weedmaps.com/dispensaries/lit-la-mesa-la-mesa,https://www.leafly.com/dispensary-info/lit-la-mesa,,
C10-0000829-LIC,Lake Murray Ventures LLC,Wellgreens and Wellgreens Everything Cannabis,La Mesa,San Diego,https://weedmaps.com/dispensaries/wellgreens-and-wellgreens-everything-la-mesa,https://www.leafly.com/dispensary-info/wellgreens-and-wellgreens-everything,,
C10-0000634-LIC,Loud Sd Inc.,CANNABIS 21+,San Diego,San Diego,https://weedmaps.com/dispensaries/21-san-diego,https://www.leafly.com/dispensary-info/21,,
